yaw,r,theta,Fn_BEM,Ft_BEM,Fn_SVEN,Ft_SVEN,Fn_Castor,Ft_Castor
5.0,0.326110072682,90.0,14.31224564427062,5.533791100879797,18.82597860262665,6.477320829078028,18.1405953,6.37816616
5.0,0.326110072682,100.0,14.41849921846345,5.649786539205678,18.899305656684945,6.582323662778793,18.2493457,6.49259269
5.0,0.326110072682,110.0,14.519897212837389,5.762874386084188,18.95832494111285,6.680212806041865,18.3420153,6.60120414
5.0,0.326110072682,120.0,14.613295662583944,5.869505945980139,19.000548458174432,6.767425604013229,18.4164243,6.69939519
5.0,0.326110072682,130.0,14.694850737108183,5.966725005906653,19.0244491772754,6.841425936848212,18.4695068,6.78300351
5.0,0.326110072682,140.0,14.76267910316264,6.051155772964222,19.030850369456573,6.898584832493491,18.5020092,6.84902737
5.0,0.326110072682,150.0,14.814458391844983,6.120067786792652,19.01933330506777,6.936745797220279,18.5147973,6.89552321
5.0,0.326110072682,160.0,14.84977738764651,6.170566593851737,18.991963394863543,6.954450916737397,18.5063015,6.92099688
5.0,0.326110072682,170.0,14.86662632876992,6.201410806090079,18.95031056985011,6.951395412981559,18.4750017,6.9245945
5.0,0.326110072682,180.0,14.865467120660472,6.211118860005221,18.895883255887668,6.92779533898198,18.4223189,6.90629015
5.0,0.326110072682,190.0,14.846439031656484,6.199352637021754,18.830727146967927,6.88457576667398,18.3506674,6.86682095
5.0,0.326110072682,200.0,14.810195776645676,6.166511192703589,18.75718358161912,6.823135763716891,18.2621217,6.80757952
5.0,0.326110072682,210.0,14.757273140126054,6.114022192041494,18.67681347473857,6.74538554983716,18.1599506,6.73061755
5.0,0.326110072682,220.0,14.689421576668934,6.043589385387374,18.590883145956084,6.654810651626018,18.0496045,6.63848717
5.0,0.326110072682,230.0,14.609155757687185,5.957402015089427,18.502839732212,6.553938847983596,17.9351072,6.53394685
5.0,0.326110072682,240.0,14.516902644992433,5.859352029997655,18.41240827542069,6.448114794891828,17.8169419,6.42045972
5.0,0.326110072682,250.0,14.416981142549528,5.751839119644935,18.322749094066225,6.339447089806292,17.6964401,6.30238037
5.0,0.326110072682,260.0,14.31201785647642,5.638472174089267,18.2369671936376,6.230024355204324,17.5774516,6.18456917
5.0,0.326110072682,270.0,14.204938515387047,5.522755724463424,18.15857020355149,6.122302943919588,17.4635487,6.0706281
5.0,0.326110072682,280.0,14.099117068851994,5.408401732725119,18.089423086361084,6.01935622757739,17.3593184,5.96264645
5.0,0.326110072682,290.0,13.997436395479616,5.2990615911413945,18.030088351166253,5.924140301809042,17.2692387,5.8623359
5.0,0.326110072682,300.0,13.902622274843868,5.198176982546045,17.980846236912093,5.840528459145051,17.1954856,5.7727741
5.0,0.326110072682,310.0,13.818117203281291,5.108039129176418,17.94440458552214,5.771123488481126,17.1395407,5.69662021
5.0,0.326110072682,320.0,13.747416029926073,5.03068041364393,17.921997649926833,5.7186606168663845,17.1029621,5.63601092
5.0,0.326110072682,330.0,13.692294613245867,4.968310074248545,17.914819387594637,5.68313306956538,17.086264,5.59307789
5.0,0.326110072682,340.0,13.654433684678196,4.922775899237878,17.92477572671479,5.665383483905779,17.0899368,5.56919709
5.0,0.326110072682,350.0,13.634287277376778,4.895617844722386,17.952135441648633,5.66609556012558,17.1141036,5.56491634
5.0,0.370559501483,0.0,24.75425092243528,5.988806827978635,32.6837128254674,6.797912650934678,28.3737817,6.6572655
